ID,Start time,Completion time,Email,Name,Total points,Quiz feedback,Which of the following is true about your experience with TeamUp! in tutorial?  (please select all that apply),Points - Which of the following is true about your experience with TeamUp! in tutorial?  (please select all that apply),Feedback - Which of the following is true about your experience with TeamUp! in tutorial?  (please select all that apply),Do you have any additional feedback about TeamUp! that you would like to share?,Points - Do you have any additional feedback about TeamUp! that you would like to share?,Feedback - Do you have any additional feedback about TeamUp! that you would like to share?,Do you read the weekly newsletter?,Points - Do you read the weekly newsletter?,Feedback - Do you read the weekly newsletter?,Which of the following is true for you about the newsletter? (choose as many options as apply),Points - Which of the following is true for you about the newsletter? (choose as many options as apply),Feedback - Which of the following is true for you about the newsletter? (choose as many options as apply),Any other feedback about the newsletter?,Points - Any other feedback about the newsletter?,Feedback - Any other feedback about the newsletter?,Why not? (you can select more than one response),Points - Why not? (you can select more than one response),Feedback - Why not? (you can select more than one response),Anything else you would like to share about the newsletter?,Points - Anything else you would like to share about the newsletter?,Feedback - Anything else you would like to share about the newsletter?,Did you attend the Study Skills workshop or watch the recording?,Points - Did you attend the Study Skills workshop or watch the recording?,Feedback - Did you attend the Study Skills workshop or watch the recording?,How useful did you find the Study Skills workshop?,Points - How useful did you find the Study Skills workshop?,Feedback - How useful did you find the Study Skills workshop?,Any other feedback about the Study Skills workshop?,Points - Any other feedback about the Study Skills workshop?,Feedback - Any other feedback about the Study Skills workshop?,Did you attend the Test #1 Debrief session or watch the recording?,Points - Did you attend the Test #1 Debrief session or watch the recording?,Feedback - Did you attend the Test #1 Debrief session or watch the recording?,How useful did you find the Test #1 Debrief session?,Points - How useful did you find the Test #1 Debrief session?,Feedback - How useful did you find the Test #1 Debrief session?,Any other feedback about the Test #1 Debrief session?,Points - Any other feedback about the Test #1 Debrief session?,Feedback - Any other feedback about the Test #1 Debrief session?,Anything else you would like to share with the CHM 135 teaching team?,Points - Anything else you would like to share with the CHM 135 teaching team?,Feedback - Anything else you would like to share with the CHM 135 teaching team?,Do you feel Lab #1 increased your confidence using Excel?,Points - Do you feel Lab #1 increased your confidence using Excel?,Feedback - Do you feel Lab #1 increased your confidence using Excel?,Do you feel Lab #1 increased your confidence analyzing data (e.g. interpreting trendlines and plots)?,Points - Do you feel Lab #1 increased your confidence analyzing data (e.g. interpreting trendlines and plots)?,Feedback - Do you feel Lab #1 increased your confidence analyzing data (e.g. interpreting trendlines and plots)?,Did the experience using Excel in Lab 1 help you to complete the necessary Excel calculations and graphs for the other CHM135 labs?,Points - Did the experience using Excel in Lab 1 help you to complete the necessary Excel calculations and graphs for the other CHM135 labs?,Feedback - Did the experience using Excel in Lab 1 help you to complete the necessary Excel calculations and graphs for the other CHM135 labs?,Any additional feedback on Lab 1 that you would like the teaching team to know? Both positive feedback and constructive criticism are welcome.,Points - Any additional feedback on Lab 1 that you would like the teaching team to know? Both positive feedback and constructive criticism are welcome.,Feedback - Any additional feedback on Lab 1 that you would like the teaching team to know? Both positive feedback and constructive criticism are welcome.
12,11-5-21 11:27:05,11-5-21 11:28:29,anonymous,,,,"I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the discussion board links.
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
13,11-5-21 11:27:32,11-5-21 11:28:34,anonymous,,,,"I find the time allocated to TeamUp! too short.;I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"It was good practice, but I didn’t learn anything new",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
14,11-5-21 11:26:36,11-5-21 11:28:38,anonymous,,,,"I like working through problems with my peers.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;I find it useful to see past test questions.
;",,,,,,"At least some of the time
",,,"I like the tips from the teaching team.
;",,,,,,,,,,,,Yes,,,Neutral,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
15,11-5-21 11:26:38,11-5-21 11:28:41,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;It is hard for me to participate because I can't turn on my camera or unmute.
;I find the time allocated to TeamUp! too short.;",,,Adding a timer on the TeamUp page would help a lot,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
16,11-5-21 11:27:18,11-5-21 11:28:46,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
17,11-5-21 11:27:11,11-5-21 11:28:47,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;I find the time allocated to TeamUp! too short.;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the discussion board links.
;I like the advice from former students.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, but I was already quite confident",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
18,11-5-21 11:27:29,11-5-21 11:28:48,anonymous,,,,"I find it useful to see past test questions.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the tips from the teaching team.
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;I like the discussion board links.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
19,11-5-21 11:27:46,11-5-21 11:28:51,anonymous,,,,"I find it useful to see past test questions.
;It has let me get to know some of my classmates.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
20,11-5-21 11:26:34,11-5-21 11:29:05,anonymous,,,,"I find it useful to see past test questions.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,No,,,,,,,,,,,,Not really,,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
21,11-5-21 11:27:57,11-5-21 11:29:06,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
22,11-5-21 11:27:24,11-5-21 11:29:10,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;I find the time allocated to TeamUp! too short.;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the discussion board links.
;I like the advice from former students.
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,Posting a video walkthrough really helped me work through excel!,,
23,11-5-21 11:27:26,11-5-21 11:29:15,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,No,,,,,,,,,"Didn't seem useful
",,,,,,No,,,,,,,,,No,,,,,,,,,I know there's probably nothing you will do about this but I think the test times are too short. I never feel like I have enough time to complete all of the test questions with confidence even if I feel prepared for the test.,,,"Yes, but I was already quite confident",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
24,11-5-21 11:27:44,11-5-21 11:29:40,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,No,,,,,,,,,"Too long
",,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
25,11-5-21 11:28:34,11-5-21 11:29:40,anonymous,,,,"It is hard for me to participate because I can't turn on my camera or unmute.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"It was good practice, but I didn’t learn anything new",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
26,11-5-21 11:28:09,11-5-21 11:29:52,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the discussion board links.
;I like the advice from former students.
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,,,,"Thanks for all your efforts, they are very much appreciated",,,"Yes, but I was already quite confident",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
27,11-5-21 11:29:01,11-5-21 11:29:53,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the tips from the teaching team.
;I like the discussion board links.
;I like the advice from former students.
;I like the information about the department (the last thing in the newsletter)
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Extremely useful,,,,,,,,,"It was good practice, but I didn’t learn anything new",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
28,11-5-21 11:27:13,11-5-21 11:29:53,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
29,11-5-21 11:27:32,11-5-21 11:30:00,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the information about the department (the last thing in the newsletter)
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
30,11-5-21 11:28:25,11-5-21 11:30:01,anonymous,,,,"I find it useful to see past test questions.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the tips from the teaching team.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
31,11-5-21 11:27:50,11-5-21 11:30:04,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
32,11-5-21 11:29:23,11-5-21 11:30:14,anonymous,,,,"I like working through problems with my peers.
;I find it useful to see past test questions.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the advice from former students.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
33,11-5-21 11:27:55,11-5-21 11:30:17,anonymous,,,,"I find it useful to see past test questions.
;",,,,,,No,,,,,,,,,Other,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,It left me more confused then when I started,,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
34,11-5-21 11:27:36,11-5-21 11:30:18,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;",,,,,,,,,,,,Yes,,,Neutral,,,,,,Yes,,,Extremely not useful,,,,,,"I really don’t know I am really struggling in this class,and I don’t know if it’s my fault , the lectures obviously helped in my understanding of the class but going on to do the test and seeing my score it’s really bad , so I don’t know ",,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
35,11-5-21 11:27:26,11-5-21 11:30:20,anonymous,,,,"I find it useful to see past test questions.
;It is hard for me to participate because I can't turn on my camera or unmute.
;I find the time allocated to TeamUp! too short.;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat not useful,,,,,,The test questions do not match the all textbook and lecture work so on the test there are questions people have no clue how to do ,,,"It was good practice, but I didn’t learn anything new",,,Not really,,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
36,11-5-21 11:28:04,11-5-21 11:30:23,anonymous,,,,"I find it useful to see past test questions.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;",,,,,,No,,,,,,,,,"Didn't seem useful
",,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
37,11-5-21 11:27:54,11-5-21 11:30:25,anonymous,,,,"I like working through problems with my peers.
;I find the time allocated to TeamUp! too short.;",,,,,,No,,,,,,,,,Other,,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Somewhat useful,,,,,,In person classes,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
38,11-5-21 11:29:18,11-5-21 11:30:27,anonymous,,,,"It's frustrating because other people in my group don't turn on their camera and/or unmute.
;I find it useful to see past test questions.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
39,11-5-21 11:27:03,11-5-21 11:30:29,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;",,,I think TeamUp is actually very good. Probably the best help given in this course,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,It is good. ,,,,,,,,,No,,,,,,,,,Yes,,,Neutral,,,,,,"Please do anything you can to allow students to increase their grades this year (extra quiz, assignment, etc.)",,,"Yes, but I was already quite confident",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,I think lab one was great and defrosted my excel knowledge ,,
40,11-5-21 11:28:22,11-5-21 11:30:30,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;I find the time allocated to TeamUp! too short.;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the tips from the teaching team.
;I like the advice from former students.
;",,,,,,,,,,,,Yes,,,Extremely useful,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
41,11-5-21 11:28:32,11-5-21 11:30:30,anonymous,,,,"I like working through problems with my peers.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;I find it useful to see past test questions.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, but I was already quite confident",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
42,11-5-21 11:29:03,11-5-21 11:30:36,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It is hard for me to participate because I can't turn on my camera or unmute.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the discussion board links.
;I like the advice from former students.
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,No,,,,,,,,,,,,"Yes, but I was already quite confident",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
43,11-5-21 11:29:43,11-5-21 11:30:43,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
